Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,SDM-HSsrc,0.36376582941233965
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,SDM-PCA,0.4882858858188012
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,COT-u,0.5034346508803038
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,SDMu-HS4,0.45305977130251457
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,SDMu-HSsrc,0.45210337461429984
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,SDMu-PCA,0.5416974994066152
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,COT-c,0.48072546528349835
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,SDM-HS4,0.5023176912444326
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,SDM-HSsrc,0.3726735825084121
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.1,SDM-PCA,0.49109224690392755
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,COT-u,0.5033927648939587
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,SDMu-HS4,0.43532803708305995
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,SDMu-HSsrc,0.4755106599835249
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,SDMu-PCA,0.49813607360764
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,COT-c,0.46769194253242674
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,SDM-HS4,0.4976613657623948
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,SDM-HSsrc,0.48171676696033394
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.5,SDM-PCA,0.37547994359353837
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,QOTu-HS4,0.48261033466903086
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,QOTu-HSsrc,0.47746533934629937
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,QOTu-PCA,0.6215531323736788
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,QOTc-HS4,0.7246903927509319
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,QOTc-HSsrc,0.635968892674141
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,QOTc-PCA,0.6321851919076275
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,none-HS4,0.5055498931907348
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-12,none-PCA,0.4278862935090683
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-10,QOTu-HS4,0.48261033466903086
Ang,Right,HTL,PTT,1,0.5,1,EPS,1e-10,QOTu-HSsrc,0.47746533934629937
